Variable,Value
F,400.0
xf,0.66
xd,0.98
xb,0.0002
P_Tot,6.0
q,0.7
Rf,1.7
AC_LK_A,4.02232
AC_LK_B,1206.53
AC_LK_C,220.291
AC_HK_A,4.0854
AC_HK_B,1348.77
AC_HK_C,219.976
N_Size,1001
Max_Pl,50
